,predicted_answer,groundtruth,matches?,options,sources,questions,result_id_groundtruth,result_id_prediction,matches_ids
412,reduction in lift and reduced controllability in turns,Reduction in lift and reduced controllability in turns.,1,"[{'id': 1, 'answer': 'No significant changes in flight characteristics as long as ice forms as a clear sheet.'}, {'id': 2, 'answer': 'A reduction in lift but no effect on other aspects of performance.'}, {'id': 3, 'answer': 'Reduced controllability in yaw and roll, but an increase in lift.'}, {'id': 4, 'answer': 'Reduction in lift and reduced controllability in turns.'}]","[Document(page_content='s.\nStructural Icing\nIt builds up on any exposed surface of an aircraft, causing loss of lift, an increase in weight, and control problems.\nThere are 2 general types of structural icing:\nRIME ICE\nNormally encountered in\nstratiform clouds\n. In these clouds, continuous icing can be expected in the temperature range from\n0ºC to -30ºC\n, and results from instantaneous freezing of small supercooled water droplets striking the aircraft’s surface.'), Document(page_content='s.\nStructural Icing\nIt builds up on any exposed surface of an aircraft, causing loss of lift, an increase in weight, and control problems.\nThere are 2 general types of structural icing:\nRIME ICE\nNormally encountered in stratiform clouds. In these clouds, continuous icing can be expected in the temperature range from 0ºC to -30ºC, and results from instantaneous freezing of small supercooled water droplets striking the aircraft’s surface.'), Document(page_content='s.\nStructural Icing\nIt builds up on any exposed surface of an aircraft, causing loss of lift, an increase in weight, and control problems.\nThere are 2 general types of structural icing:\nRIME ICE\nNormally encountered in stratiform clouds. In these clouds, continuous icing can be expected in the temperature range from 0ºC to -30ºC, and results from instantaneous freezing of small supercooled water droplets striking the aircraft’s surface.'), Document(page_content='s.\nStructural Icing\nIt builds up on any exposed surface of an aircraft, causing loss of lift, an increase in weight, and control problems.\nThere are 2 general types of structural icing:\nRIME ICE\nNormally encountered in stratiform clouds. In these clouds, continuous icing can be expected in the temperature range from 0ºC to -30ºC, and results from instantaneous freezing of small supercooled water droplets striking the aircraft’s surface.'), Document(page_content='s.\nStructural Icing\nIt builds up on any exposed surface of an aircraft, causing loss of lift, an increase in weight, and control problems.\nThere are 2 general types of structural icing:\nRIME ICE\nNormally encountered in stratiform clouds. In these clouds, continuous icing can be expected in the temperature range from 0ºC to -30ºC, and results from instantaneous freezing of small supercooled water droplets striking the aircraft’s surface.')]",,4,4.0,True
413,variable between 4 and 8 km.,Decrease to 4 km within the next 2 hours.,0,"[{'id': 1, 'answer': 'Improve from 4 000 m to 8 000 m in the next 2 hours.'}, {'id': 2, 'answer': 'Vary between 4 and 8 km.'}, {'id': 3, 'answer': 'Decrease to 4 km within the next 2 hours.'}, {'id': 4, 'answer': 'Decrease to 4 km within 1 hour.'}]","[Document(page_content='METAR EGLC 231720 260/10kt\n3000\nHZ\nNSW\n""3000"" =>\nvisibility 3 km\n(3000 m)\nHZ => Haze\nHAZE. Visibility reduced by small solid particles (ie. Sand, dust, smoke). It is not reported if visibility is greater than 5000 m.\n""Less than 5000 m but more than 1500 m.""\nINCORRECT\n. Visibility is reported to be 3 000 m.\nNote: It is possible that you might a slightly different version of this question in official exams. We would appreciate any feedback if you come across it in your official exam.'), Document(page_content='It is not reported if visibility is greater than 5000 m.'), Document(page_content='followed by the vertical visibility  in hundreds of feet. \nMETAR   EGTK  231020Z   26005KT   0300 FG  VV002\n      (a)            (b)\nThe highlighted codes in this METAR indicate that:\nVisibility is 300 m in fog (a), the sky is obscured and the vertical visibility is 200 ft.\nThis METAR decodes as follows: \nMETAR for Oxford/Kidlington, observed at 1020 UTC on 23rd of the month; the surface wind \nis 260° True, at  5 kt; the visibility is 300 m in  fog (a); the sky is obscured with a vertical visibility', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 480}), Document(page_content='visibility is 6000 metres.  Once the visibility reaches 10 km or more, the code figure used is 9999. \nVisibility of less than 50 metres  is indicated by the code 0000 .  In this example the prevailing \nvisibility is 800 metres.\nMETAR   EGTK   231020Z    26012G25KT   220V300    0800\nIn some instances, runway visibility  information is given in a METAR; this is known as Runway \nVisual Range (RVR.)   RVR is given only when either the horizontal visibility or the RVR, itself,', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 477}), Document(page_content='Note\n: This is a very common type of question to encounter, usually referring to sunrise or sunset in haze, and 3000m seems to be an EASA favourite for the prevailing visibilty measurement. We do sometimes see feedback stating a different value for the minimum visibility occasionally, 1000m for instance, instead of 1500m. It should be clear in an exam which is correct.\nAny further exam feedback on this question would be appreciated, thanks.')]",,3,2.0,False
414,mercury barometer,Mercury barometer,1,"[{'id': 1, 'answer': 'Hygrometer'}, {'id': 2, 'answer': 'Mercury barometer'}, {'id': 3, 'answer': 'Ceilometer'}, {'id': 4, 'answer': 'Anemometer'}]","[Document(page_content='Pressure\n2\n18\n2 PressureMercury Barometer \nThe basic instrument used for the measurement of atmospheric pressure is the mercury \nbarometer. The atmospheric pressure is measured by the height of a column of mercury, and \nthis height can be read in terms of any of the units shown above. The USA still uses inches of \nmercury as their measurement of atmospheric pressure.\nFigure 2.2 A Mercury Barometer\nAneroid Barometer.\nA more compact means of measuring atmospheric pressure is the Aneroid Barometer. It', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 23}), Document(page_content='2\n19\n                                                                                                 Pressure 2Pressure\nFigure 2.4 Met Office Aneroid Barometer\nThe Barograph\nTo enable a continuous record of pressure changes to be made, a paper covered rotating drum \nis substituted for the scale and the instrument then becomes a barograph. This instrument is \nused by the meteorologist to measure what is known as pressure tendency, the rise and fall of', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 24}), Document(page_content='like barometers, manometers have one (or \ntwo) ends that are open to the surrounding \natmosphere, they do not need to be. Manometers \ncan be used to measure the pressure of a gas \nrelative to another gas that does not need to be \nthe atmosphere.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/aero_introductory_physics.pdf', 'page': 59}), Document(page_content='mercury, because of its high density), and then \ninverting the tube into a reservoir. A vacuum is \ncreated inside of the top of the tube, because the \natmosphere can only push up a certain quantity \nof it in the tube. As atmospheric pressure \nchanges, more or less fluid gets pushed into the \ntube. The reading of the relative height is then \nconverted into units of atmospheric pressure.\nAlternatively, a manometer can be used to \nmeasure pressure difference as well. Although,', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/aero_introductory_physics.pdf', 'page': 59}), Document(page_content='2\n21\n                                                                                                 Pressure 2Pressure\nTypes of Pressure\nQFE\nThe atmospheric pressure measured at the aerodrome reference point.  With QFE set on the \naltimeter the altimeter will read zero feet when the aircraft is on the aerodrome.\nFigure 2.7 QFE\nQNH\nThis is the barometric pressure at the airfield (QFE), converted to mean sea level (MSL) using', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 26})]",,2,2.0,True
415,the visibility is reduced due to sand and dust in the air.,The visibility is reduced due to sand and dust in the air.,1,"[{'id': 1, 'answer': 'The visibility is reduced due to sand and dust in the air.'}, {'id': 2, 'answer': 'The visibility is reduced due to mist from the sea and sand in the air.'}, {'id': 3, 'answer': 'The moist air from the sea causes haze.'}, {'id': 4, 'answer': 'The visibility is unaffected by polluted air.'}]","[Document(page_content='The\nHarmattan\nblows mostly during the\nwinter\nfrom the\nhigh pressure\ndesert areas of\nNorth Africa\nas a\nnortheasterly\nwind towards the\nITCZ\n(NE trade wind).\nThe Harmattan is a\ncool dusty\nwind that may\nreduce visibility\nto below 1000 m, especially in areas bordering desert regions, such as Kano, Nigeria.\nThe dust layer may extend to\n7000\nor\n10000 ft\nor more, and visibility improves towards the coast.\nThe Harmattan blows from\nNovember\nthrough to\nApril'), Document(page_content='below 1000 m, especially in areas bordering desert regions, such as Kano, Nigeria. The dust \nlayer may extend to 7000 or 10 000 ft or more, and visibility improves towards the coast. The \nHarmattan blows from November  through to April , though by this time the winds will be light, \nespecially in the south.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 416}), Document(page_content='21\n411\n               21 Local Winds and Weather                                                                                     Local Winds and Weather\nThe Harmattan\nThe last of the major local winds is the Harmattan . This blows mostly during the winter from \nthe high pressure  desert areas of North Africa as a northeasterly  wind towards the ITCZ. \n(Northeast trade winds). The Harmattan is a cool dusty wind that may reduce visibility to', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 416}), Document(page_content=""We can get to the correct answer by analysing the available answers. All options referring to mist (water based visility deteoration) are incorrect, as the question clearly states that visibility is reduced due to Haze. The option which states that the sun will be in the pilot's eyes is also incorrect, as discussed above.""), Document(page_content='affect northern Algeria but are prevented from \nmoving further south by the Atlas mountains. \nElsewhere the prevailing NE Harmattan  wind \nwill traverse the area bringing dry dusty \nconditions .\nAt times outflow to the north will produce \nthe dusty but dry Scirocco  wind to the \nMediterranean\nSouth of 20°N - Summer Season\nThe ITCZ will advance northwards across the region during the Spring and with its passage the \nNE Harmattan  will veer through east  to become the SW Monsoon wind.  The SW direction', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 421})]",,1,1.0,True
416,the volume increases while the temperature decreases.,The volume increases while the temperature decreases.,1,"[{'id': 1, 'answer': 'The volume decreases and the temperature decreases.'}, {'id': 2, 'answer': 'The volume remains constant while the temperature decreases.'}, {'id': 3, 'answer': 'The volume increases while the temperature decreases.'}, {'id': 4, 'answer': 'The volume increases while the temperature remains constant.'}]","[Document(page_content='density. Likewise, if pressure is decreased, the air will expand which will increase the volume \nand decrease the density.\n (rho) = density\nWe can therefore say that:\nDENSITY IS DIRECTLY PROPORTIONAL TO PRESSURE.\nIn the atmosphere density can be decreased by raising the volume of air to a greater height \nsince we know that pressure decreases with an increase in altitude. Similarly, density can be \nincreased by lowering the volume of air to a lower height.\nEffect of Change of Temperature on Density', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 36}), Document(page_content=', the pressure exerted on the parcel decreases and\nthe parcel expands in volume as a result\n. In order to expand (do work), the parcel must use its internal energy to do so. As the air expands, the molecules spread out and ultimately collide less with one another\n. The work of expansion causes the air’s temperature to decrease.\n=>\nIf the moist unsaturated parcel of air expands and cools to the dew point temperature - saturation will occur'), Document(page_content='INCORRECT\n. Raising the air temperature does not directly cause the air to become saturated. However, it is an essential factor in determining the air\'s capacity to hold water vapour. Warm air can accommodate more water vapour than cold air. As the temperature increases, the air can hold more moisture, thus reducing relative humidity - making saturation less likely.\nd) ""Decreasing the amount of water vapour in the air"":\nINCORRECT'), Document(page_content='In each case the temperature has changed because of the expansion or compression of the gas; \nno heat has been added from or removed to external sources.\nIn the atmosphere pressure decreases as altitude increases so if a parcel of air is forced to rise \nit will expand as it rises and hence will cool by the adiabatic process.  Similarly if a parcel of \nair is forced to descend it will become compressed and hence heat up, again by the adiabatic \nprocess.\nThe Dry Adiabatic Lapse Rate - DALR', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 94}), Document(page_content='when saturated air descends it is warmed-up at a slower rate (SALR 1.8°C per 1 000 ft) than the dry air (DALR 3ºC per 1000 ft), because evaporation takes place during which latent heat is absorbed - thus slowing down the rate of warming of the parcel.\nSUMMARY:\nRising unsaturated (dry) air cools down more rapidly than saturated (moist) air.\nSinking unsaturated (dry) air warms-up more rapidly than saturated (moist) air.')]",,3,3.0,True
417,"it is higher than that in january, as it varies with the seasons.","It is higher than that in January, as it varies with the seasons.",1,"[{'id': 1, 'answer': 'It is higher than that in January, as it varies with the seasons.'}, {'id': 2, 'answer': 'It is lower than that in January, as it varies with the seasons.'}, {'id': 3, 'answer': 'It is predictable as it is constant throughout the year.'}, {'id': 4, 'answer': 'It lies just below the level of the local jet stream.'}]","[Document(page_content='Area Climatology\n22\n428\n                   Area Climatology 22Icing\nThe freezing level will be higher in summer and frontal activity is less, but icing in thunderstorms \nand orographical cloud may still be severe.\nAverage Tropopause and Freezing Level Heights over Central France\n   January  July \nTropopause  35 000’   39 000’ \nFreezing Level  4000’   12 000’\nMediterranean Sea and Adjacent Lands\nGeographical Considerations', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 433}), Document(page_content='Average Tropopause and Freezing Level Heights\n  Tropopause   Freezing Level\nJanuary 38 000’    11 000’\n    \nJuly  56 000’    16 000’', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 441}), Document(page_content='•  This marks the boundary between the troposphere and the stratosphere and is where \ntemperature ceases to fall with an increase in height. (Practically taken as the height \nwhere the temperature fall is less than 0.65°C per 100 m (2°C per 1000 ft.)\n•  The height of the tropopause is controlled by the temperature of the air near the \nsurface. The warmer the air, the higher the tropopause. The colder the air, the lower \nthe tropopause. Therefore, temperature variations due to latitude, season, land and', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 10}), Document(page_content='The height of the tropopause varies according to the temperature on the surface. The higher the temperature, the higher the tropopause. Likewise, the colder the temperature, the lower tropopause. Also the tropopause is higher in the summer than in the winter months.\nTypical heights of tropopause:\nEquatorial regions: 50 000 – 60 000 ft (-60º to -80ºC)\nMid Latitude regions: 35 000 – 40 000 ft (-55ºC)\nPolar regions: 25 000 – 30 000 ft (-50ºC)'), Document(page_content='The tropopause occurs at approximately 20 000 feet over the poles\nand at approximately 60 000 feet above the equator.\nThe temperature at the tropopause can be as high as -40°C over the poles and as low as -80°C over the Equator.\nThe International Standard Atmosphere (ISA) assumes that the average height of the tropopause is 36 000 feet, with a temperature of -56.5°C.')]",,1,1.0,True
418,temperature ceases to fall with increasing height.,temperature ceases to fall with increasing height.,1,"[{'id': 1, 'answer': 'temperature ceases to fall with increasing height.'}, {'id': 2, 'answer': 'pressure remains constant.'}, {'id': 3, 'answer': 'water vapour content is greatest.'}, {'id': 4, 'answer': 'vertical currents are strongest.'}]","[Document(page_content='TROPOPAUSE\nThe tropopause is the upper limit of the troposphere. It constitutes the boundary between the troposphere and the Stratosphere and it is where the\ntemperature remains almost constant\nat -56.5ºC with further increase in height\nup to a level of approx. 20 km (\n65 000 ft\n)\n.'), Document(page_content='•  This marks the boundary between the troposphere and the stratosphere and is where \ntemperature ceases to fall with an increase in height. (Practically taken as the height \nwhere the temperature fall is less than 0.65°C per 100 m (2°C per 1000 ft.)\n•  The height of the tropopause is controlled by the temperature of the air near the \nsurface. The warmer the air, the higher the tropopause. The colder the air, the lower \nthe tropopause. Therefore, temperature variations due to latitude, season, land and', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 10}), Document(page_content='.\nTROPOPAUSE\nThe tropopause is the upper limit of the troposphere and, therefore, constitutes the boundary between it and the Stratosphere and it is where the temperature remains almost constant with further increase in height (temperature ceases to fall with increasing height).\nAs you can see in the attached figure, in the troposphere, the temperature decreases with altitude until it reaches the tropopause.'), Document(page_content='The Atmosphere\n1\n6\n1 The AtmosphereThe Significance of Tropopause Height\nThe significance of the tropopause height is that it usually marks:\n• the maximum height of significant cloud.\n• the presence of jet streams.\n• the presence of Clear Air Turbulence (CAT). It is now referred to as TURB.\n• the maximum wind speed.\n• the upper limit of most of the weather\nTemperatures\nTemperature in the troposphere increases from the poles to the Equator.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 11}), Document(page_content='In the real atmosphere the tropopause is a continuous surface\n.\nINCORRECT\n.\nThe tropopause is not always one continuous surface\n. Often there is a distinct tropopause above the tropics with a break at around 30° latitude where a new tropopause forms at a lower level. That tropopause slopes downward toward the pole and sometimes shows another break. A jet stream is often found in these tropopause breaks, which become regions of mixing between troposphere and stratosphere.')]",,1,1.0,True
419,a lower altitude than the elevation of the summit,A lower altitude than the elevation of the summit,1,"[{'id': 1, 'answer': 'A higher altitude than the elevation of the summit'}, {'id': 2, 'answer': 'There is insufficient information to come to a conclusion'}, {'id': 3, 'answer': 'A lower altitude than the elevation of the summit'}, {'id': 4, 'answer': 'The same altitude as the elevation of the summit'}]","[Document(page_content='When an aircraft is in a higher-pressure area, the altimeter will under read.\nThe aircrafts true altitude will be higher than indicated.\nWhen an aircraft is in a colder airmass than ISA, the altimeter will overread.\nThe aircrafts true altitude will be lower than indicated.\nWhen an aircraft is in a warmer airmass than ISA, the altimeter will under read.\nThe aircrafts true altitude will be higher than indicated.\nWith regards to this question:'), Document(page_content='When an aircraft is in a higher-pressure area, the altimeter will under read. The aircrafts true altitude will be higher than indicated.\nWhen an aircraft is in a colder airmass than ISA, the altimeter will overread. The aircrafts true altitude will be lower than indicated.\nWhen an aircraft is in a warmer airmass than ISA, the altimeter will under read. The aircrafts true altitude will be higher than indicated.\nIn the case of this specific question:'), Document(page_content='(unfortunately, this is not the same in all altimetry questions, as some refer to surface pressure differences between two locations).\nTo go through the options:\n""The aircraft\'s true altitude will be increasing.""\nCorrect, as explained above.\n""The altitude indicated on the aneroid altimeter will be decreasing.""\nThe aneroid altimeter just means a barometric altimeter. At this altitude, altimeters are set to 1013 hPa, so will remain constant at 19 000 ft (FL190).'), Document(page_content='lower pressure area\n, the altimeter will\noverread\n.\nThe aircrafts true altitude will be lower than indicated.\nWhen an aircraft is in a\nhigher-pressure area\n, the altimeter will\nunder read\n.\nThe aircrafts true altitude will be higher than indicated.\nWhen an aircraft is in a\ncolder\nairmass than ISA, the altimeter will\noverread\n.\nThe aircrafts true altitude will be lower than indicated.\nWhen an aircraft is in a\nwarmer\nairmass than ISA, the altimeter will\nunder read\n.'), Document(page_content=""An aircraft's barometric altimeter does not actually measure height difference between the aircraft and sea level, it is simply a barometer, and measures static air pressure, which is shown as an altitude readout. in comparison to the International Standard Atmosphere (ISA)"")]",,3,3.0,True
420,"when winds from a consistent direction, approximately perpendicular to a mountain range or","When winds from a consistent direction, approximately perpendicular to a mountain range or high plateau, increase in speed with height within a deep, stable layer, mountain waves and their effects can extend from low to high level.",0,"[{'id': 1, 'answer': 'When winds from a consistent direction, approximately perpendicular to a mountain range or high plateau, increase in speed with height within a deep, stable layer, mountain waves and their effects can extend from low to high level.'}, {'id': 2, 'answer': 'The presence of a jet stream passing over a mountain range tends to reinforce a mountain wave system that has developed at lower levels. This reinforcement provides the optimum conditions for the mountain waves to extend up to the level of the jet stream.'}, {'id': 3, 'answer': 'A strong westerly airflow that increases in speed with height, when combined with a deep, unstable layer in the vicinity of a mountain range, can often result in the wave motion, and its associated turbulence, extending from low through to high level.'}, {'id': 4, 'answer': 'A deep, stable layer combined with a consistent, strong, westerly flow at low level over a mountain range can result in a mountain wave system developing up to high level, when the decrease in air density with height is matched by a similar decrease in wind speed with height.'}]","[Document(page_content='. Mountainous areas can produce mountain waves, especially when a stable atmosphere exists (so the air flows down again after being forced upwards), and mountain waves can travel way up into the atmosphere when there is a gradually strengthening wind, which would likely be the case if a jet stream is present at high altitudes.'), Document(page_content='Learning Objective 050.02.05.01.05: Describe that mountain wave effects can exceed the performance or structural capability of aircraft.\nHaving fast airflow over a mountain causes a lot of vertical movement of air, with\nlarge updrafts\non the windward side of the mountain as the air climbs, as well as\nlarge downdrafts\non the lee side where the air descends back to the surface. These ""mountain waves"" often continue\ndownwind of the high ground\nsimilar to waves on the ocean'), Document(page_content='.\nMOUNTAIN WAVES\ndevelop on the lee, or downwind, side of mountains.\nThese waves are generated when:\nWind direction: generally perpendicular (+/-30º) fashion, raised up over the mountains. And\nno significant change in direction with altitude\n.\nWind speed: strong. At least 20 kt,\nincreasing with altitude\n, at the summits.\nMarked layer of stability\n/strong inversion around altitude of summits – which will work as a barrier over the mountains.'), Document(page_content=', and can have this up and down ""wave"" motion for hundreds of miles in some cases.\nThe downdrafts within these waves can be so powerful that lower performance aircraft may not be able to climb at all when within one.\nWhilst\nthe wind is relatively smooth in general, there is a significant amount of windshear\n, causing heavy turbulence and rotor effects underneath the peaks of the wave. Mountain waves are not just at the height of the mountain peaks though, as\nthey affect the air above themselves'), Document(page_content='.\nMOUNTAIN WAVES.\nOscillations to the lee side (downwind)\nof high ground resulting from the disturbance in the horizontal air flow caused by the high ground.\nMountain waves are the result of flowing air being forced to rise up the windward side of a mountain barrier, then as a result of certain atmospheric conditions, sinking down the leeward side.\nThis develops a series of standing waves downstream\nfrom the barrier and may extend for hundreds of kilometres over clear areas of land and open water.')]",,1,1.0,True
421,significant weather chart.,Significant weather chart.,1,"[{'id': 1, 'answer': '500 hPa chart.'}, {'id': 2, 'answer': 'Significant weather chart.'}, {'id': 3, 'answer': '24 hour surface forecast.'}, {'id': 4, 'answer': '300 hPa chart.'}]","[Document(page_content='Significant Weather and Wind Charts\n27\n496\nSignificant Weather and Wind Charts 27', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 501}), Document(page_content='Significant Weather and Wind Charts\n27\n506\nSignificant Weather and Wind Charts 27', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 511}), Document(page_content='Significant Weather and Wind Charts\n27\n500\nSignificant Weather and Wind Charts 27Fronts and Convergence Zones and Other Symbols Used\nFigure 27.3 Significant weather symbology\n•  Winds. Corresponding to the charts listed above are charts of similar coverage, each chart \nshowing wind and temperature for a particular flight level. The flight levels are listed in \ncolumn 3 of page 3-5-10 of the GEN section of the Air Pilot (Appendix A to Chapter 18). On', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 505}), Document(page_content='27\n503\n27 Significant Weather and Wind Charts                                                                     Significant Weather and Wind Charts\nhour period starting 4 hours before the forecast time and extending to 5 hours after, (i.e. a 9 \nhour period of validity.  These charts are produced for the UK (form 215) and for NW Europe \n(form 415).  Spot wind and temperature charts are also produced valid for 6 hour periods', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 508}), Document(page_content='7\n.\nThe Significant Weather Chart covering the area of the destination airport valid at the estimated time of arrival.\nCORRECT\n. Contains infor regarding icing, turbulence, CBs associated with thunderstorms, etc.\n8\n.\nRelevant SIGMET information valid at the estimated time of arrival. CORRECT\n.\nCORRECT.\nProvides info on TS, SEV TURB/ICING, etc.\nTherefore, correct option is\n1, 4, 5, 7 and 8.')]",,2,2.0,True
422,"water in liquid form is present, with an ambient air temperature and airframe temperature below 0","water in liquid form is present, with an ambient air temperature and airframe temperature below 0ºC.",0,"[{'id': 1, 'answer': 'visible moisture is present with any ambient air or airframe temperature.'}, {'id': 2, 'answer': 'water in liquid form is present, with an ambient air temperature and airframe temperature below 0ºC.'}, {'id': 3, 'answer': 'snow or hail are falling, with an ambient air temperature above 0ºC.'}, {'id': 4, 'answer': 'the air is clear, with an ambient air temperature and airframe temperature below 0ºC.'}]","[Document(page_content='.\nRain with a negative outside air temperature\n=>\nSupercooled rain/Freezing rain\n, which consists of rain maintaining its liquid state in sub-zero temperatures.\nFreezing Rain can cause significant accumulations\nof clear ice.\nClear ice is the most hazardous form of airframe icing'), Document(page_content='- The most important factor for the build-up of ice on aircraft is the freezing of supercooled drops following impact with a cold aircraft.\nWe can, therefore, expect Freezing/Supercooled Rain, between the surface and 3000 ft, which is directly associated with the most hazardous type of ice - moderate to severe Clear Ice.'), Document(page_content='Ahead of a warm front, freezing rain can be encountered\n. Freezing Rain occurs when precipitation, in the form of rain, passes from a warm air mass into a relative cold air mass of an air temperature less than 0°C. The rain maintaining its liquid state in sub-zero temperatures renders it super-cooled.\nIt can cause significant accumulations of Clear Ice\n.\nClear ice is the most hazardous form of airframe icing'), Document(page_content='occurs when precipitation, in the form of rain, passes from a warm air mass into a relative cold air mass of an air temperature less than 0°C. The rain maintaining its liquid state in sub-zero temperatures renders it super-cooled. It can cause significant accumulations of Clear Ice. Clear ice is the most hazardous form of airframe icing, because it has the fastest rate of accumulation and is more difficult to remove than rime ice. When the supercooled drop hits the cold airframe, it freezes relatively slowly due to the latent heat released in the freezing process.'), Document(page_content='adhering to the airframe in the process\n. This can form icing such as\nrime ice, clear ice, or mixed ice (a mixture of the two).\nThis can occur in precipitation also\n, particularly when the air temperature or airframe is below 0ºC, where rain, freezing rain, or wet snow can adhere to the airframe or engines.\nIn reality, the best option here is ""dry snow"",\nas dry snow is considered to be made up of\nsolid ice crystals only\n, not any water droplets that could freeze onto the wing. Therefore,')]",,2,2.0,True
423,development of stratiform clouds.,Development of stratiform clouds.,1,"[{'id': 1, 'answer': 'Increasing instability of air layers on the surface.'}, {'id': 2, 'answer': 'Development of an inversion at a high level.'}, {'id': 3, 'answer': 'Development of stratiform clouds.'}, {'id': 4, 'answer': 'Development of cold air front.'}]","[Document(page_content='An inversion in the atmosphere is where temperature rises with an increase in height. This produces extreme stability\nThere are four kinds of inversions: ground, turbulence, subsidence, and frontal.\nGROUND INVERSION\n- develops when air is cooled by contact with a colder surface until it becomes cooler than the overlying atmosphere\n; this occurs most often on clear nights, when the ground cools off rapidly by radiation.\nIf the temperature of surface air drops below its dew point, fog may result.'), Document(page_content='– the air mass is cooled from below giving rise to an inversion. A common example of this is when a warm front passes over an area with snow cover.'), Document(page_content='Processes that increase atmosphere’s stability\n:\nStability increases when lower layers are cooled, or upper layers warmed.\n=> WARM AIR MASS (air warmer than surface below) - stable\nStable weather characteristics:\nClear skies or Clouds (\nlayer type\nof clouds will form - STRATIFORM) - great horizontal extension, little vertical development: ST, SC,AS,NS,CI,CS.\nModerate to poor visibility (especially in an inversion)\nLight turbulence (except in an inversion or mountain waves)'), Document(page_content='s.\nCOLD FRONT. Can be defined as cold air replacing warm air.\nThe denser cold air displaces/overtakes the less dense warm air => cold air will slide itself under the warm air, forcing it to rise.\nSurface winds'), Document(page_content='Still another effect is to prevent thunderstorms from forming. Even in an air mass that is hot and humid in the lowest layers, thunderstorms will be prevented if an inversion in the lower atmosphere is keeping this air from rising. The conceptual opposite of a temperature inversion is an unstable air layer.')]",,3,3.0,True
