question,answers,correct_answer,explanation,explanationImageHtml,id,clean_explanation
Freezing precipitation occurs,"[{'id': 1, 'answer': 'only in the precipitation of a warm front'}, {'id': 2, 'answer': 'in the form of freezing hail or freezing snow'}, {'id': 3, 'answer': 'only in the precipitation of a cold front'}, {'id': 4, 'answer': 'in the form of freezing rain or freezing drizzle'}]",in the form of freezing rain or freezing drizzle,"Refer to figure.
Freezing precipitation occurs in the form of
Freezing
Rain
(FZRA) or
Freezing
Drizzle
(FZDZ).
FREEZING PRECIPITATION. The conditions needed for freezing precipitation are quite specific.
Generally, precipitation first falls from a cloud as snow. If it falls through warmer air before reaching the ground, it can melt and turn to rain droplets. If it then falls through cold air again before hitting the ground,
the droplets can become supercooled (which means that they are still falling in liquid state, even though their temperature is below 0ºC).
Freezing rain/drizzle is a rare type of liquid precipitation that strikes a surface and freezes almost instantly.
Precipitation which contains large supercooled water droplets => Freezing Rain
Precipitation which contains small supercooled water droplets => Freezing Drizzle","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29914""> <a href=""/ImageViewer/index?image=6CA2C704-4F27-4E16-A1D3-3FA1B7F1E5EA&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/6CA2C704-4F27-4E16-A1D3-3FA1B7F1E5EA"" alt=""thumb_480_508770.png"" /> </a> </div></div>",73070,".
Freezing precipitation occurs in the form of
Freezing
Rain
(FZRA) or
Freezing
Drizzle
(FZDZ).
FREEZING PRECIPITATION. The conditions needed for freezing precipitation are quite specific.
Generally, precipitation first falls from a cloud as snow. If it falls through warmer air before reaching the ground, it can melt and turn to rain droplets. If it then falls through cold air again before hitting the ground,
the droplets can become supercooled (which means that they are still falling in liquid state, even though their temperature is below 0ºC).
Freezing rain/drizzle is a rare type of liquid precipitation that strikes a surface and freezes almost instantly.
Precipitation which contains large supercooled water droplets => Freezing Rain
Precipitation which contains small supercooled water droplets => Freezing Drizzle"
The typical diameter of a sand grain and the windspeed required for sand to decrease the visibility is:,"[{'id': 1, 'answer': '0.08 mm and a W/V of at least 20 kt.'}, {'id': 2, 'answer': '0.8 mm and a W/V of at least 60 kt.'}, {'id': 3, 'answer': '3 mm and a W/V of at least 60 kt.'}, {'id': 4, 'answer': '0.1 mm and a W/V of at least 20 kt.'}]",0.08 mm and a W/V of at least 20 kt.,"Sand or dust storms are the result of convection currents created by intense heating of the ground or these can be introduced for mechanical reasons (strong winds carry up the particles).
Winds above 20 knots are needed to raise dust and sand. The diameter of the particles is between 0.08 and 0.1 mm.
Sandstorms are dangerous to aviation as they may decrease visibility to a few metres. They can block sunshine almost entirely. Moreover, dust particles may block the engine of the aircraft or small particles may get through the filters and spread into the cabin, causing breathing problems.
Sandstorms can be detected on visible satellite images.",,79940,"Sand or dust storms are the result of convection currents created by intense heating of the ground or these can be introduced for mechanical reasons (strong winds carry up the particles).
Winds above 20 knots are needed to raise dust and sand. The diameter of the particles is between 0.08 and 0.1 mm.
Sandstorms are dangerous to aviation as they may decrease visibility to a few metres. They can block sunshine almost entirely. Moreover, dust particles may block the engine of the aircraft or small particles may get through the filters and spread into the cabin, causing breathing problems.
Sandstorms can be detected on visible satellite images."
A condition for the dissipation of orographic fog can be..,"[{'id': 1, 'answer': 'upslope wind.'}, {'id': 2, 'answer': 'solar radiation.'}, {'id': 3, 'answer': 'light rain.'}, {'id': 4, 'answer': 'snow showers.'}]",solar radiation.,"Refer to figure.
HILL/OROGRAPHIC FOG. Usually stratiform cloud (ST, SC) whose base is lower than the summit of the hills.
Formed when humid stable air is forced to ascend along the side of a mountain or hill or by the normal turbulence action producing ST and SC.
Formed during the day or night.
As the air rises, it cools adiabatically => condensation level is reached, and a cloud is formed.
Hill fog requires a wind up the slopes of a mountain and is promoted by high humidity.
The hill fog quickly disappears if the wind changes, or by insolation – which causes an increase in temperature (which will be warmer than DP) and convection and lifting of the fog.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29641""> <a href=""/ImageViewer/index?image=E104A498-9A8D-4F64-B117-B610E10328FC&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/E104A498-9A8D-4F64-B117-B610E10328FC"" alt=""thumb_428_504411.png"" /> </a> </div></div>",72519,".
HILL/OROGRAPHIC FOG. Usually stratiform cloud (ST, SC) whose base is lower than the summit of the hills.
Formed when humid stable air is forced to ascend along the side of a mountain or hill or by the normal turbulence action producing ST and SC.
Formed during the day or night.
As the air rises, it cools adiabatically => condensation level is reached, and a cloud is formed.
Hill fog requires a wind up the slopes of a mountain and is promoted by high humidity.
The hill fog quickly disappears if the wind changes, or by insolation – which causes an increase in temperature (which will be warmer than DP) and convection and lifting of the fog."
Which of the following combinations is most characteristic of unstable air behind a cold front?,"[{'id': 1, 'answer': 'Good visibility between showers, showery precipitation, cumuliform clouds'}, {'id': 2, 'answer': 'Poor visibility, continuous precipitation, stratiform clouds'}, {'id': 3, 'answer': 'Good visibility between showers, persistent precipitation, stratiform clouds'}, {'id': 4, 'answer': 'Poor visibility, intermittent precipitation, cumuliform clouds'}]","Good visibility between showers, showery precipitation, cumuliform clouds","Refer to figures.
Below you can find the weather behind a cold front.
BEHIND THE COLD FRONT:
Surface wind: Steady or slight veer to North-West, speeds decrease.
Temperature: remains steady (cold).
Pressure: increases slowly.
Cloud: Broken to overcast, base lifting, occasional Cumulus and Cumulonimbus.
Precipitation: Same as at the cold front – heavy/showers rain or snow showers
,
later occasional showers from Cumulus and Cumulonimbus.
An active cold front with unstable warm air will be associated with cumuliform clouds => producing showery precipitation.
Visibility: very
good
,
except in showers.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31342""> <a href=""/ImageViewer/index?image=87914027-3D27-488D-B362-514A066C1B25&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/87914027-3D27-488D-B362-514A066C1B25"" alt=""thumb_755_501593.png"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer31343""> <a href=""/ImageViewer/index?image=39B9BE37-6841-4762-8C8A-1717697A92C9&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/39B9BE37-6841-4762-8C8A-1717697A92C9"" alt=""thumb_802_502717(1).png"" /> </a> </div></div>",72225,"s.
Below you can find the weather behind a cold front.
BEHIND THE COLD FRONT:
Surface wind: Steady or slight veer to North-West, speeds decrease.
Temperature: remains steady (cold).
Pressure: increases slowly.
Cloud: Broken to overcast, base lifting, occasional Cumulus and Cumulonimbus.
Precipitation: Same as at the cold front – heavy/showers rain or snow showers
,
later occasional showers from Cumulus and Cumulonimbus.
An active cold front with unstable warm air will be associated with cumuliform clouds => producing showery precipitation.
Visibility: very
good
,
except in showers."
Choose the option with the correct classification of high level clouds and location of their bases:,"[{'id': 1, 'answer': 'Above 16 500 ft, Cumuliform.'}, {'id': 2, 'answer': 'Above 7 000 ft, Cumuliform.'}, {'id': 3, 'answer': 'Above 16 500 ft, Cirriform.'}, {'id': 4, 'answer': 'Above 14 000 ft, Nimbus.'}]","Above 16 500 ft, Cirriform.","HIGH CLOUDS - Cirriform clouds (Cirrus, Cirrocumuls, Cirrostratus)
CLOUD HEIGHT BANDS
LOW LEVEL CLOUDS
BASES 0 ft – 6500 ft
WATER DROPLETS
STRATUS ST
STRATOCUMULUS SC
CUMULUS CU
CUMULONIMBOS CB
NIMBOSTRATUS NS
Cumulus and cumulonimbus will, however, have significant vertical development and will extend from LOW to HIGH levels.
CB could extend into lower stratosphere.
MEDIUM LEVEL CLOUDS
BASES 6500 ft – 23000 ft
ALTOSTRATUS AS
ALTOCUMULUS AC
NIMBOSTRATUS NS – may also be classified as medium level
Characterised by prefix “Alto”
HIGH CLOUDS
BASES 16500 ft – 45 000 ft
ICE CRYSTALS
CIRROSTRATUS CS
CIRROCUMULOS CC
CIRRUS CI
Characterised by prefix “Cirro”.",,80940,"HIGH CLOUDS - Cirriform clouds (Cirrus, Cirrocumuls, Cirrostratus)
CLOUD HEIGHT BANDS
LOW LEVEL CLOUDS
BASES 0 ft – 6500 ft
WATER DROPLETS
STRATUS ST
STRATOCUMULUS SC
CUMULUS CU
CUMULONIMBOS CB
NIMBOSTRATUS NS
Cumulus and cumulonimbus will, however, have significant vertical development and will extend from LOW to HIGH levels.
CB could extend into lower stratosphere.
MEDIUM LEVEL CLOUDS
BASES 6500 ft – 23000 ft
ALTOSTRATUS AS
ALTOCUMULUS AC
NIMBOSTRATUS NS – may also be classified as medium level
Characterised by prefix “Alto”
HIGH CLOUDS
BASES 16500 ft – 45 000 ft
ICE CRYSTALS
CIRROSTRATUS CS
CIRROCUMULOS CC
CIRRUS CI
Characterised by prefix “Cirro”."
"Which of these statements best describes the weather most likely to be experienced at 15:00 UTC?
TAF LSZH 211200Z 2113/2122 22018G35KT 9999 SCT012 BKN030 BECMG 2113/2115 25025G45KT TEMPO 2117/2120 4000 +SHRA BKN025TCU BECMG 2120/2122 25015KT TX18/15Z TN14/21Z=","[{'id': 1, 'answer': 'Visibility 4 000 metres, gusts up to 25 knots, temperature 18°C.'}, {'id': 2, 'answer': 'Visibility 10 kilometres or more, ceiling 1 200 feet, gusts up to 45 knots.'}, {'id': 3, 'answer': 'Severe rain showers, visibility 4 000 metres, temperature 15 °C, gusts up to 35 knots.'}, {'id': 4, 'answer': 'Visibility 10 kilometres or more, ceiling 3 000 feet, wind 250, temperature 18°C.'}]","Visibility 10 kilometres or more, ceiling 3 000 feet, wind 250, temperature 18°C.","TAF LSZH 211200Z 2113/2122 22018G35KT 9999 SCT012 BKN030 BECMG 2113/2115 25025G45KT TEMPO 2117/2120 4000 +SHRA BKN025TCU BECMG 2120/2122 25015KT TX18/15Z TN14/21Z=
Period of validity is stated as 13:00 UTC until 22:00 UTC day 21 (2113/2122).
Initial weather conditions are forecasted to be:
22018G35KT = wind 220º at 18 kt gusting to a maximum of 35 kt
9999 = visibility 10 km or more
SCT012 = scattered clouds at 1200 ft
BKN030 = broken clouds at 3000 ft
A change of permanent character is expected to occur on day 21 at any time between 13:00 and 15:00 (BECMG 2113/2115). After the change occurs, the following conditions are to be expected:
250
25G45KT =
wind 250º
at 25 kt gusting to a maximum of 45 kt
Next changes expected are of temporary character (TEMPO 2117/2120) => which means that the listed conditions can occur on day 21 at any time between 17:00 and 20:00 UTC, but are not of permanent character and may occur momentarily, for a max of 1h at each time. Thereafter, the conditions will revert back to how they were previously.
4000 = visibility 4000 m
+SHRA = heavy showers of rain
BKN025TCU = broken clouds at 2500 ft and towering cumulus
Another change of permanent character is expected to occur on day 21 at any time between 20:00 and 22:00 (BECMG 2120/2122). After the change occurs, the following conditions are to be expected:
25015KT = wind 250º at 15 kt
TX18/15Z
TN14/21Z =
highest temperature 18ºC at 15 UTC
, lowest temperature 14º at 21 UTC.
=>
At 1500 UTC
, we can expect the conditions described in the first section of the TAF and the conditions after the first change of permanent character:
visibility 10 km or more, Broken clouds at 3000 ft and wind at 250º (T)
. Also note that highest temperature is reached at 1500 UTC -
18ºC
.
Note that according to the ICAO legal definition, ceiling is the height above the ground or water of the base of the lowest layer of cloud below 20 000ft covering more than half the sky. Simply put, ceiling is referred to when the clouds start to hold hands and form layers i.e. the amount of cloud is defined as either broken (BKN 5-7 Octas) or overcast (OVC 8 Octas).",,73073,"TAF LSZH 211200Z 2113/2122 22018G35KT 9999 SCT012 BKN030 BECMG 2113/2115 25025G45KT TEMPO 2117/2120 4000 +SHRA BKN025TCU BECMG 2120/2122 25015KT TX18/15Z TN14/21Z=
Period of validity is stated as 13:00 UTC until 22:00 UTC day 21 (2113/2122).
Initial weather conditions are forecasted to be:
22018G35KT = wind 220º at 18 kt gusting to a maximum of 35 kt
9999 = visibility 10 km or more
SCT012 = scattered clouds at 1200 ft
BKN030 = broken clouds at 3000 ft
A change of permanent character is expected to occur on day 21 at any time between 13:00 and 15:00 (BECMG 2113/2115). After the change occurs, the following conditions are to be expected:
250
25G45KT =
wind 250º
at 25 kt gusting to a maximum of 45 kt
Next changes expected are of temporary character (TEMPO 2117/2120) => which means that the listed conditions can occur on day 21 at any time between 17:00 and 20:00 UTC, but are not of permanent character and may occur momentarily, for a max of 1h at each time. Thereafter, the conditions will revert back to how they were previously.
4000 = visibility 4000 m
+SHRA = heavy showers of rain
BKN025TCU = broken clouds at 2500 ft and towering cumulus
Another change of permanent character is expected to occur on day 21 at any time between 20:00 and 22:00 (BECMG 2120/2122). After the change occurs, the following conditions are to be expected:
25015KT = wind 250º at 15 kt
TX18/15Z
TN14/21Z =
highest temperature 18ºC at 15 UTC
, lowest temperature 14º at 21 UTC.
=>
At 1500 UTC
, we can expect the conditions described in the first section of the TAF and the conditions after the first change of permanent character:
visibility 10 km or more, Broken clouds at 3000 ft and wind at 250º (T)
. Also note that highest temperature is reached at 1500 UTC -
18ºC
.
Note that according to the ICAO legal definition, ceiling is the height above the ground or water of the base of the lowest layer of cloud below 20 000ft covering more than half the sky. Simply put, ceiling is referred to when the clouds start to hold hands and form layers i.e. the amount of cloud is defined as either broken (BKN 5-7 Octas) or overcast (OVC 8 Octas)."
Frontal thunderstorms are mainly associated with,"[{'id': 1, 'answer': 'cold fronts.'}, {'id': 2, 'answer': 'warm fronts.'}, {'id': 3, 'answer': 'ridges of high pressure.'}, {'id': 4, 'answer': 'cols.'}]",cold fronts.,"Refer to figure.
Frontal thunderstorms develop at the boundary (front) between two different masses of air, formed over land or sea, day or night. Most frequent in winter.
The movements of air masses that cause thunderstorms are mainly found at cold fronts
or occlusions. The denser cold air pushes under the warmer air of the warm front, lifting it up. Frontal thunderstorms occur over larger areas than thermal thunderstorms, but they are less violent. These are the fastest moving and often accompanied by a squall line.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31570""> <a href=""/ImageViewer/index?image=836D9074-86DD-4A32-9088-2505BEA80798&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/836D9074-86DD-4A32-9088-2505BEA80798"" alt=""thumb_859_Screenshot 2020-11-10 at 21.43.50.png"" /> </a> </div></div>",72256,".
Frontal thunderstorms develop at the boundary (front) between two different masses of air, formed over land or sea, day or night. Most frequent in winter.
The movements of air masses that cause thunderstorms are mainly found at cold fronts
or occlusions. The denser cold air pushes under the warmer air of the warm front, lifting it up. Frontal thunderstorms occur over larger areas than thermal thunderstorms, but they are less violent. These are the fastest moving and often accompanied by a squall line."
A cold-air drop (cold pool) can be best identified by means of...,"[{'id': 1, 'answer': 'the isobars on a surface chart'}, {'id': 2, 'answer': 'a GAMET report'}, {'id': 3, 'answer': 'the isohypses on an upper air chart'}, {'id': 4, 'answer': 'the CAT areas on a significant weather chart'}]",the isohypses on an upper air chart,"Refer to figure.
COLD-AIR DROP/COLD POOL
A cold-air drop is a low pressure system, that only exists in the upper troposhere - it’s a cooler-than-normal pocket of air in the higher levels of the atmosphere.
As a parcel of air at the surface warms up during the day - it wants to rise. This happens because warmer air is less dense/more buoyant than the cooler air around it. As it rises, the parcel of air cools off. However, when a ""cold pool aloft"" exists, the parcel that began rising from the surface wants to continue rising through the cold pool. Even though the parcel was cooling as it was rising, it still remains relatively warmer than the cold pool and wants to continue its upward journey. With these air parcels being allowed to continue rising, it induces more cloud development and rain/thunderstorm potential. This is why cold pools aloft are often associated with deep instability and the severe weather associated with vigorous convection is possible.
CHARACTERISTICS
Cold pools are a challange for the weather forecast, because the numerical weather prediction models cannot predict the exact direction of movement.
Would be indicated by the low contour (isohypse) height on the 500hPa chart
and higher and the surface chart may show high pressure -
They cannot be detected on surface analysis charts.
The weather associated with a cold pool will typically be convective especially over land in summer when thunderstorms can be expected.
If associated with a static high pressure area such as the Siberian High, a cold pool could be present for weeks. But, in the area of the polar front, the weather systems usually move from West to East in a series of waves and, like the polar front depressions, their duration will be only a few days. => On average cold pools persists for approximately 3 days.
Learning Objective 050.08.03.04.03: Identify cold-air drops on weather charts.
Note: The 2016 syllabus referred to these are
""cold pools""
, but the new syllabus refers to them as
""cold-air drops""
. They are the same so any explanations are interchangeable.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer28588""> <a href=""/ImageViewer/index?image=532A26EA-5A4F-4CE3-ACDF-4620AC6B0D9D&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/532A26EA-5A4F-4CE3-ACDF-4620AC6B0D9D"" alt=""thumb_813_501528.png"" /> </a> </div></div>",73071,".
COLD-AIR DROP/COLD POOL
A cold-air drop is a low pressure system, that only exists in the upper troposhere - it’s a cooler-than-normal pocket of air in the higher levels of the atmosphere.
As a parcel of air at the surface warms up during the day - it wants to rise. This happens because warmer air is less dense/more buoyant than the cooler air around it. As it rises, the parcel of air cools off. However, when a ""cold pool aloft"" exists, the parcel that began rising from the surface wants to continue rising through the cold pool. Even though the parcel was cooling as it was rising, it still remains relatively warmer than the cold pool and wants to continue its upward journey. With these air parcels being allowed to continue rising, it induces more cloud development and rain/thunderstorm potential. This is why cold pools aloft are often associated with deep instability and the severe weather associated with vigorous convection is possible.
CHARACTERISTICS
Cold pools are a challange for the weather forecast, because the numerical weather prediction models cannot predict the exact direction of movement.
Would be indicated by the low contour (isohypse) height on the 500hPa chart
and higher and the surface chart may show high pressure -
They cannot be detected on surface analysis charts.
The weather associated with a cold pool will typically be convective especially over land in summer when thunderstorms can be expected.
If associated with a static high pressure area such as the Siberian High, a cold pool could be present for weeks. But, in the area of the polar front, the weather systems usually move from West to East in a series of waves and, like the polar front depressions, their duration will be only a few days. => On average cold pools persists for approximately 3 days.
Learning Objective 050.08.03.04.03: Identify cold-air drops on weather charts.
Note: The 2016 syllabus referred to these are
""cold pools""
, but the new syllabus refers to them as
""cold-air drops""
. They are the same so any explanations are interchangeable."
Which of the following options contains information that you could find in a gridded dataset?,"[{'id': 1, 'answer': 'The gridded forecast models are still a prototype.'}, {'id': 2, 'answer': 'Flight level and temperature of the tropopause only.'}, {'id': 3, 'answer': 'Flight level and temperature of the tropopause, CB, turbulence, fog and icing.'}, {'id': 4, 'answer': 'Flight level and temperature of the tropopause, CB, turbulence, icing, W/V (Wind Velocity)'}]","Flight level and temperature of the tropopause, CB, turbulence, icing, W/V (Wind Velocity)","Numerical weather prediction (NWP)
uses mathematical models of the atmosphere and oceans to predict the weather based on current weather conditions. The gridded forecasts are part of the NWP.
Gridded forecasts are available at upper height, between FL050 and FL530.
These are for the following atmospheric variables:
Air temperature
Humidity
Wind direction and speed
Temperature and level of the tropopause
Wind speed, wind direction and flight level of maximum wind
Geopotential altitude of the flight levels
Cumulonimbus clouds, turbulence and icing.
Gridded forecasts are combined into information processing systems. The data is relayed from pilot reports/aircraft.",,79953,"Numerical weather prediction (NWP)
uses mathematical models of the atmosphere and oceans to predict the weather based on current weather conditions. The gridded forecasts are part of the NWP.
Gridded forecasts are available at upper height, between FL050 and FL530.
These are for the following atmospheric variables:
Air temperature
Humidity
Wind direction and speed
Temperature and level of the tropopause
Wind speed, wind direction and flight level of maximum wind
Geopotential altitude of the flight levels
Cumulonimbus clouds, turbulence and icing.
Gridded forecasts are combined into information processing systems. The data is relayed from pilot reports/aircraft."
A parcel of air has a temperature of +10°C and a dew point of +8°C. Cooling the air below its dewpoint will cause which of the following processes to occur first?,"[{'id': 1, 'answer': 'Sublimation'}, {'id': 2, 'answer': 'Condensation'}, {'id': 3, 'answer': 'Freezing'}, {'id': 4, 'answer': 'Evaporation'}]",Condensation,"A parcel of air can hold a certain amount of water in vapour form. That amount depends on the temperature of the parcel of air. Warmer air can hold more water vapour than colder air. When a parcel of air becomes overfilled with water vapour,
the excess water will begin to
condense
into water droplets
, which forms clouds, fog and dew. This most often occurs because the air parcel cools down for some reason, and therefore can no longer hold the water vapour that was already inside it, and as it cools, more and more water is released to condense into droplets.
The change of state from vapour is not always into droplets though. Water vapour can also change straight to ice, if the temperature is below 0°C. The water vapour actually prefers to turn straight into ice where possible due to vapour pressure differences, and this process is called deposition (gas to solid state change). It is also referred to as sublimation in America for some reason, even though Sublimation is the change of state from solid to gas, but the American interpretation is gaining more traction, so be on the lookout for people using it to describe a gas to solid state change.
Freezing is a change of state from liquid to solid
Evaporation is a change of state from liquid to gas.
Condensation is from gas to liquid
Sublimation is from solid to gas (and is also from gas to solid in some countries)
Obviously at a dew point of +8°C, the water vapour is going to begin condensing into water droplets.",,85987,"A parcel of air can hold a certain amount of water in vapour form. That amount depends on the temperature of the parcel of air. Warmer air can hold more water vapour than colder air. When a parcel of air becomes overfilled with water vapour,
the excess water will begin to
condense
into water droplets
, which forms clouds, fog and dew. This most often occurs because the air parcel cools down for some reason, and therefore can no longer hold the water vapour that was already inside it, and as it cools, more and more water is released to condense into droplets.
The change of state from vapour is not always into droplets though. Water vapour can also change straight to ice, if the temperature is below 0°C. The water vapour actually prefers to turn straight into ice where possible due to vapour pressure differences, and this process is called deposition (gas to solid state change). It is also referred to as sublimation in America for some reason, even though Sublimation is the change of state from solid to gas, but the American interpretation is gaining more traction, so be on the lookout for people using it to describe a gas to solid state change.
Freezing is a change of state from liquid to solid
Evaporation is a change of state from liquid to gas.
Condensation is from gas to liquid
Sublimation is from solid to gas (and is also from gas to solid in some countries)
Obviously at a dew point of +8°C, the water vapour is going to begin condensing into water droplets."
"Given the following information, what is the approximate reading expected on the altimeter, when the pilot changes the subscale setting during a climb through the transition altitude?Transition altitude: 18 000 ft  Transition level: FL 175  QNH: 1035 hPa  Assume 27 ft per 1 hPa","[{'id': 1, 'answer': '18590 ft'}, {'id': 2, 'answer': '17500 ft'}, {'id': 3, 'answer': '17340 ft'}, {'id': 4, 'answer': '17410 ft'}]",17410 ft,"When climbing through the transition altitude, the pilot will change the altimeter subscale from QNH to standard pressure setting (1013.2 hPa) so they can then fly pressure altitudes (Flight Levels) above that altitude. In this case, the
QNH pressure is higher than standard
, so the indicated altitude is
higher
than pressure altitude. We are therefore expecting the altimeter reading to decrease during this subscale setting procedure. We can calculate this decrease using a barometric correction.
Pressure Difference = 1035 - 1013 =
22 hPa
Altitude difference = 22 hPa x 27ft/hPa =
594 ft
Pressure Altitude = 18,000 - 594 =
17,406 ft, closest answer 17,410 ft",,81656,"When climbing through the transition altitude, the pilot will change the altimeter subscale from QNH to standard pressure setting (1013.2 hPa) so they can then fly pressure altitudes (Flight Levels) above that altitude. In this case, the
QNH pressure is higher than standard
, so the indicated altitude is
higher
than pressure altitude. We are therefore expecting the altimeter reading to decrease during this subscale setting procedure. We can calculate this decrease using a barometric correction.
Pressure Difference = 1035 - 1013 =
22 hPa
Altitude difference = 22 hPa x 27ft/hPa =
594 ft
Pressure Altitude = 18,000 - 594 =
17,406 ft, closest answer 17,410 ft"
The icing in cloud which forms over hills is likely to be more severe than in the same type of cloud over level terrain because:,"[{'id': 1, 'answer': 'enforced ascent of air releases more water, which is retained in the cloud by the increased upward components.'}, {'id': 2, 'answer': 'adiablatic cooling lowers the freezing level and the water content of the cloud.'}, {'id': 3, 'answer': 'increases the temperature inside the cloud by forcing the release of latent heat so causing the air to hold more water vapour.'}, {'id': 4, 'answer': 'orographic lifting causes the freezing level to rise and increases the free water content of the cloud.'}]","enforced ascent of air releases more water, which is retained in the cloud by the increased upward components.","Clouds formed orographically
(by hills or mountains) are often associated with
very strong uplift
, due to the very nature of wind having to climb over a large piece of terrain. This makes the corresponding clouds
quite heavy
, and even though they may look the same,
they are able to carry larger water droplets
, due to the more aggressive uplift within the cloud.
Larger water droplets mean that, in icing conditions, there will be
larger, and more dangerous Supercooled Water Droplets (SCWDs)
to cause icing. The
larger droplets cause faster ice build-up,
and can also contribute to worse
clear ice
as they drip backwards further on the surface of the wing than a smaller SCWD would do.",,81566,"Clouds formed orographically
(by hills or mountains) are often associated with
very strong uplift
, due to the very nature of wind having to climb over a large piece of terrain. This makes the corresponding clouds
quite heavy
, and even though they may look the same,
they are able to carry larger water droplets
, due to the more aggressive uplift within the cloud.
Larger water droplets mean that, in icing conditions, there will be
larger, and more dangerous Supercooled Water Droplets (SCWDs)
to cause icing. The
larger droplets cause faster ice build-up,
and can also contribute to worse
clear ice
as they drip backwards further on the surface of the wing than a smaller SCWD would do."
"A moist, stable layer of air is forced to rise against a mountain range and the stability does not change. Which of the following phenomena may develop?","[{'id': 1, 'answer': 'Areas of severe turbulence on the upwind side of the mountain.'}, {'id': 2, 'answer': 'Stratified clouds.'}, {'id': 3, 'answer': 'Showers and thunderstorms.'}, {'id': 4, 'answer': 'Inversions.'}]",Stratified clouds.,"As the airflow encounters the mountain range, it is forced to rise; this is referred to as Orographic Lift. As the air mass gains altitude it quickly cools down adiabatically, which can raise the relative humidity to 100% and create Orographic clouds (clouds that develop in response to the forced lifting of air by the earth's topography).
- The type of clouds which will be formed depend on the type of air mass:
Stable
(
layer type
of clouds will form -
STRATIFORM
) - great horizontal extension, little vertical development: ST, SC,AS,NS,CI,CS.
Unstable
(
heap type
of clouds - CUMULIFORM) - extensive vertical extension: CU,TCU,CB,AC,CC.",,72601,"As the airflow encounters the mountain range, it is forced to rise; this is referred to as Orographic Lift. As the air mass gains altitude it quickly cools down adiabatically, which can raise the relative humidity to 100% and create Orographic clouds (clouds that develop in response to the forced lifting of air by the earth's topography).
- The type of clouds which will be formed depend on the type of air mass:
Stable
(
layer type
of clouds will form -
STRATIFORM
) - great horizontal extension, little vertical development: ST, SC,AS,NS,CI,CS.
Unstable
(
heap type
of clouds - CUMULIFORM) - extensive vertical extension: CU,TCU,CB,AC,CC."
What average geographical latitude is assumed for the zone of the subtropical high?,"[{'id': 1, 'answer': '0° (equator)'}, {'id': 2, 'answer': '30°N'}, {'id': 3, 'answer': '50°N'}, {'id': 4, 'answer': '10°N'}]",30°N,"Refer to figure.
Subtropical high pressure belt
, one of several regions of semipermanent high atmospheric pressure located over the oceans between 20° and 40° of latitude in both the Northern and Southern hemispheres of the Earth (
mean latitude of 30º N/S
). These highs are associated with the subsidence of the Hadley Cell and move several degrees of latitude toward the poles in the summer. The circulation around the highs is clockwise in the Northern Hemisphere and counterclockwise in the Southern Hemisphere.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31666""> <a href=""/ImageViewer/index?image=CB226A01-0457-40B2-8F15-546F4F3D5589&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/CB226A01-0457-40B2-8F15-546F4F3D5589"" alt=""thumb_307_15_503843(2).jpg"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer31667""> <a href=""/ImageViewer/index?image=28AE79EF-823E-4314-BF0D-9D7FE4422A3C&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/28AE79EF-823E-4314-BF0D-9D7FE4422A3C"" alt=""thumb_339_445_501283.jpg"" /> </a> </div></div>",73318,".
Subtropical high pressure belt
, one of several regions of semipermanent high atmospheric pressure located over the oceans between 20° and 40° of latitude in both the Northern and Southern hemispheres of the Earth (
mean latitude of 30º N/S
). These highs are associated with the subsidence of the Hadley Cell and move several degrees of latitude toward the poles in the summer. The circulation around the highs is clockwise in the Northern Hemisphere and counterclockwise in the Southern Hemisphere."
